Name_sequence	Genome_length	Virus_name	Complete_segment_name
NC_039897.1	7745	|Norovirus GI/Hu/JP/2007/GI.P3_GI.3/Shimizu/KK2866	|Norovirus GI/Hu/JP/2007/GI.P3_GI.3/Shimizu/KK2866, complete genome
NC_039475.1	7556	|Norovirus GII.17	|Norovirus GII.17, complete genome
NC_039477.1	7567	|Norovirus GII	|Norovirus GII, complete genome
NC_029647.1	7527	|Norovirus GIV	|Norovirus GIV, complete sequence
NC_038604.1	3942	|Orungo virus isolate UGMP 359 segment 1	|Orungo virus isolate UGMP 359 segment 1, complete sequence
NC_038605.1	2933	|Orungo virus isolate UGMP 359 segment 2	|Orungo virus isolate UGMP 359 segment 2, complete sequence
NC_038606.1	1957	|Orungo virus isolate UGMP 359 segment 4	|Orungo virus isolate UGMP 359 segment 4, complete sequence
NC_038607.1	1166	|Orungo virus isolate UGMP 359 segment 7	|Orungo virus isolate UGMP 359 segment 7, complete sequence
NC_038608.1	1089	|Orungo virus isolate UGMP 359 segment 8	|Orungo virus isolate UGMP 359 segment 8, complete sequence
NC_038609.1	1605	|Orungo virus isolate UGMP 359 segment 6	|Orungo virus isolate UGMP 359 segment 6, complete sequence
NC_038610.1	2781	|Orungo virus isolate UGMP 359 segment 3	|Orungo virus isolate UGMP 359 segment 3, complete sequence
NC_038611.1	1735	|Orungo virus isolate UGMP 359 segment 5	|Orungo virus isolate UGMP 359 segment 5, complete sequence
NC_038612.1	925	|Orungo virus isolate UGMP 359 segment 9	|Orungo virus isolate UGMP 359 segment 9, complete sequence
NC_038613.1	761	|Orungo virus isolate UGMP 359 segment 10	|Orungo virus isolate UGMP 359 segment 10, complete sequence
NC_022089.1	3780	|Parvovirus NIH-CQV putative 15-kDa protein	|Parvovirus NIH-CQV putative 15-kDa protein, putative replication associated protein (rep), and putative capsid protein (cap) genes, complete cds
NC_038436.1	9538	|Human hepegivirus isolate AK-790 polyprotein gene	|Human hepegivirus isolate AK-790 polyprotein gene, complete cds
NC_027998.2	9867	|Human pegivirus 2 isolate UC0125.US polyprotein gene	|Human pegivirus 2 isolate UC0125.US polyprotein gene, complete cds
NC_039070.1	2601	|Human feces smacovirus 2 strain SmaCV2	|Human feces smacovirus 2 strain SmaCV2, complete genome
NC_035474.1	2560	|Human feces smacovirus 3 isolate P21	|Human feces smacovirus 3 isolate P21, complete genome
NC_012564.1	5242	|Human bocavirus 3	|Human bocavirus 3, complete genome
NC_012729.2	5104	|Human bocavirus 4 NI strain HBoV4-NI-385	|Human bocavirus 4 NI strain HBoV4-NI-385, complete genome
NC_012042.1	5196	|Human bocavirus 2c PK isolate PK-5510	|Human bocavirus 2c PK isolate PK-5510, complete genome
NC_039050.1	4456	|Cutavirus strain BR-337 NS1	|Cutavirus strain BR-337 NS1, putative VP1, hypothetical protein, VP2, and hypothetical protein genes, complete cds
NC_007018.1	5268	|Human parvovirus 4 G1	|Human parvovirus 4 G1, complete genome
NC_039191.1	4348	|Punta Toro virus strain Adames M protein gene	|Punta Toro virus strain Adames M protein gene, complete cds
NC_039192.1	6407	|Punta Toro virus strain Adames L protein gene	|Punta Toro virus strain Adames L protein gene, complete cds
NC_039193.1	1863	|Punta Toro virus strain Adames N protein and NS protein genes	|Punta Toro virus strain Adames N protein and NS protein genes, complete cds
NC_024070.1	8931	|Rosavirus 2 strain GA7403	|Rosavirus 2 strain GA7403, complete genome
NC_018136.1	6368	|SFTS virus HB29 segment L	|SFTS virus HB29 segment L, complete genome
NC_018137.1	1744	|SFTS virus HB29 segment S	|SFTS virus HB29 segment S, complete genome
NC_018138.1	3378	|SFTS virus HB29 segment M	|SFTS virus HB29 segment M, complete genome
NC_012986.1	7989	|Salivirus A isolate 02394-01	|Salivirus A isolate 02394-01, complete genome
NC_012957.1	7982	|Salivirus NG-J1	|Salivirus NG-J1, complete genome
NC_025114.1	7998	|Salivirus FHB	|Salivirus FHB, complete genome
NC_045512.2	29903	|Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1	|Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome
NC_004718.3	29751	|SARS coronavirus Tor2	|SARS coronavirus Tor2, complete genome
NC_015411.1	4403	|Sandfly Sicilian Turkey virus segment M	|Sandfly Sicilian Turkey virus segment M, complete genome
NC_015412.1	6439	|Sandfly Sicilian Turkey virus segment L	|Sandfly Sicilian Turkey virus segment L, complete genome
NC_015413.1	1761	|Sandfly Sicilian Turkey virus segment S	|Sandfly Sicilian Turkey virus segment S, complete genome
NC_005215.1	3696	|Sin Nombre virus segment M	|Sin Nombre virus segment M, complete genome
NC_005217.1	6562	|Sin Nombre virus map viral genome L segment	|Sin Nombre virus map viral genome L segment
NC_007013.1	2249	|Small anellovirus 1	|Small anellovirus 1, complete genome
NC_007014.1	2635	|Small anellovirus 2	|Small anellovirus 2, complete genome
NC_025343.1	15480	|Sosuga virus isolate 2012	|Sosuga virus isolate 2012, complete genome
NC_006432.1	18875	|Sudan ebolavirus isolate Sudan virus/H.sapiens-tc/UGA/2000/Gulu-808892	|Sudan ebolavirus isolate Sudan virus/H.sapiens-tc/UGA/2000/Gulu-808892, complete genome
NC_020498.1	2912	|TTV-like mini virus isolate TTMV_LY1	|TTV-like mini virus isolate TTMV_LY1, complete genome
NC_014372.1	18935	|Tai Forest ebolavirus isolate Tai Forest virus/H.sapiens-tc/CIV/1994/Pauleoula-CI	|Tai Forest ebolavirus isolate Tai Forest virus/H.sapiens-tc/CIV/1994/Pauleoula-CI, complete genome
NC_009225.1	3245	|Torque teno midi virus 1	|Torque teno midi virus 1, complete genome
NC_038357.1	3175	|Torque teno midi virus 10 DNA	|Torque teno midi virus 10 DNA, complete genome, isolate: MDJN14
NC_038358.1	3198	|Torque teno midi virus 11 DNA	|Torque teno midi virus 11 DNA, complete genome, isolate: MDJN47
NC_038359.1	3187	|Torque teno midi virus 12 DNA	|Torque teno midi virus 12 DNA, complete genome, isolate: MDJN51
NC_038360.1	3230	|Torque teno midi virus 13 DNA	|Torque teno midi virus 13 DNA, complete genome, isolate: MDJN69
NC_038361.1	3223	|Torque teno midi virus 14 DNA	|Torque teno midi virus 14 DNA, complete genome, isolate: MDJN97
NC_014093.1	3253	|Torque teno midi virus 2	|Torque teno midi virus 2, complete genome
NC_038350.1	2002	|Torque teno midi virus 3 isolate 2PoSMA ORF2 and ORF1 genes	|Torque teno midi virus 3 isolate 2PoSMA ORF2 and ORF1 genes, complete cds
NC_038351.1	2454	|Torque teno midi virus 4 isolate 6PoSMA ORF2	|Torque teno midi virus 4 isolate 6PoSMA ORF2, ORF1, and ORF3 genes, complete cds
NC_038352.1	3208	|Torque teno midi virus 5 DNA	|Torque teno midi virus 5 DNA, complete genome, isolate: MDJHem2
NC_038353.1	3198	|Torque teno midi virus 6 DNA	|Torque teno midi virus 6 DNA, complete genome, isolate: MDJHem3-1
NC_038354.1	3197	|Torque teno midi virus 7 DNA	|Torque teno midi virus 7 DNA, complete genome, isolate: MDJHem3-2
NC_038355.1	3223	|Torque teno midi virus 8 DNA	|Torque teno midi virus 8 DNA, complete genome, isolate: MDJN1
NC_038356.1	3187	|Torque teno midi virus 9 DNA	|Torque teno midi virus 9 DNA, complete genome, isolate: MDJN2
NC_014097.1	2856	|Torque teno mini virus 1	|Torque teno mini virus 1, complete genome
NC_038345.1	2887	|Torque teno mini virus 10 isolate LIL-y1 ORF2	|Torque teno mini virus 10 isolate LIL-y1 ORF2, ORF1, ORF3, and ORF4 genes, complete cds
NC_038346.1	2871	|Torque teno mini virus 11 isolate LIL-y2 ORF2	|Torque teno mini virus 11 isolate LIL-y2 ORF2, ORF1, and ORF3 genes, complete cds
NC_038347.1	2912	|Torque teno mini virus 12 isolate LIL-y3 ORF2	|Torque teno mini virus 12 isolate LIL-y3 ORF2, ORF1, ORF3, and ORF4 genes, complete cds
NC_025727.1	2855	|Torque teno mini virus ALH8	|Torque teno mini virus ALH8, complete genome
NC_030297.1	2803	|Torque teno mini virus 18 isolate 222	|Torque teno mini virus 18 isolate 222, complete genome
NC_025726.1	2914	|Torque teno mini virus ALA22	|Torque teno mini virus ALA22, complete genome
NC_014089.1	2908	|Torque teno mini virus 5	|Torque teno mini virus 5, complete genome
NC_014095.1	2897	|Torque teno mini virus 6	|Torque teno mini virus 6, complete genome
NC_014068.1	2910	|Torque teno mini virus 8	|Torque teno mini virus 8, complete genome
NC_038337.1	3064	|Torque teno virus 9 clone BM1C-18 ORF2 (ORF2) gene	|Torque teno virus 9 clone BM1C-18 ORF2 (ORF2) gene, complete cds; and nonfunctional ORF1 (ORF1) gene, complete sequence
NC_055523.1	3056	|Human lung-associated vientovirus FB	|Human lung-associated vientovirus FB, complete genome
NC_035889.1	10808	|Zika virus isolate ZIKV/H. sapiens/Brazil/Natal/2015	|Zika virus isolate ZIKV/H. sapiens/Brazil/Natal/2015, complete genome
NC_009334EBNA3C.1	3210	|Human Gammaherpesvirus 4 type 2 EBNA-3C	|Human Gammaherpesvirus 4 type 2 EBNA-3C
NC_009334EBNA3B.1	3381	|Human Gammaherpesvirus 4 type 2 EBNA-3B	|Human Gammaherpesvirus 4 type 2 EBNA-3B
NC_009334EBNA3A.1	2778	|Human Gammaherpesvirus 4 type 2 EBNA-3A	|Human Gammaherpesvirus 4 type 2 EBNA-3A
NC_009334EBNA2.1	1365	|Human Gammaherpesvirus 4 type 2 EBNA-2	|Human Gammaherpesvirus 4 type 2 EBNA-2
